codigo,nombre,Nombre_equipo,ff
1,"Corey Brever",Timberwolves,2923.1999502182007
2,"Greg Buckner",Timberwolves,27410.799565792084
3,"Michael Doleac",Timberwolves,26981.59996819496
4,"Randy Foye",Timberwolves,13076.10043144226
5,"Ryan Gomes",Timberwolves,18148.200378894806
6,"Marko Jaric",Timberwolves,26909.10015487671
7,"Al Jefferson",Timberwolves,29089.899941921234
8,"Mark Madsen",Timberwolves,9520.699929475784
9,"Rashard McCants",Timberwolves,15462.799842357635
10,"Chris Richard ",Timberwolves,1046.8999868631363
11,"Craig Smith",Timberwolves,9471.399845123291
12,"Kirk Snyder",Timberwolves,12243.800029039383
13,"Sebastian Telfair",Timberwolves,17840.80016040802
14,"Antoine Walker",Timberwolves,117624.00013828278
21,"Elton brand",Clippers,102944.2013053894
22,"Paul Davis",Clippers,2305.5000138282776
23,"Dan Dickau",Clippers,10770.599995851517
24,"Nick Fazekas",Clippers,2949.3001050949097
25,"Chris Kaman",Clippers,29881.600071907043
26,"Brevin Knight",Clippers,50019.20109796524
27,"Shaun Livingston",Clippers,12881.80027103424
28,"Corey Maggette",Clippers,83696.89956855774
29,"Cuttino Mobley",Clippers,90607.60076332092
30,"Smush Parker",Clippers,20755.30021572113
31,"Josh Powell",Clippers,5669.500027656555
32,"Quinton Ross",Clippers,10822.799676418304
33,"Tim Thomas",Clippers,67781.70039272308
34,"al thornton",Clippers,6997.69989490509
35,"Marcus Williams",Clippers,0
41,"Andre Brown",Grizzlies,2328.7000815868378
42,"Kwame Brown",Grizzlies,27941.499612808228
43,"Brian Cardinal",Grizzlies,20044.80022263527
44,"Jason Collins",Grizzlies,17353.599892139435
45,"Mike Conley",Grizzlies,5124.30010509491
46,"Javaris Crittenton",Grizzlies,2755
47,"Rudy Gay",Grizzlies,17504.3999004364
48,"Casey Jacobsen",Grizzlies,10614.00005531311
49,"Kyle Lowry",Grizzlies,8653.60032081604
50,"Aaron Mckie",Grizzlies,48079.10001659393
51,"Darko Milicic",Grizzlies,10477.699867248535
52,"Mike Miller",Grizzlies,66755.09913158417
53,"Juan Carlos Navarro",Grizzlies,6005.899789810181
54,"Hakim Warrick",Grizzlies,15906.499626636505
61,"Trevor Ariza",Lakers,14755.19972896576
62,"Kobe Bryant",Lakers,168719.10167598724
63,"Andrew Bynum",Lakers,5179.400118231773
64,"Jordan Farmar",Lakers,7566.10026550293
65,"Derek Fisher",Lakers,62048.4001493454
66,"Pau Gasol",Lakers,75536.29935836792
67,"Didier Ilunga-Mbenga",Lakers,3027.6000200510025
68,"Coby Karl",Lakers,991.7999737262726
69,"Chris Mihm",Lakers,29585.799897670746
70,"Ira Newble",Lakers,20891.59996819496
71,"Lamar Odom",Lakers,79605.00099563599
72,"Vladimir Radmanovic",Lakers,37128.70006084442
73,"Ronny Turiaf",Lakers,7812.600058078766
74,"Sasha Vujacic",Lakers,11173.700323581696
75,"Luke Walton",Lakers,16582.199756622314
81,"Andrea Bargnani",Raptors,5620.19989490509
82,"Maceo Baston",Raptors,4619.700081586838
84,"Primoz Brezec",Raptors,22721.499737262726
85,"Jose Calderon",Raptors,14468.100099563599
86,"Carlos Delfino",Raptors,12220.599892139435
87,"T.J. Ford",Raptors,25627.3000497818
88,"Jorge Garbajosa",Raptors,6638.099947452545
89,"Joey Graham",Raptors,9552.600002765656
90,"Kris Humphries",Raptors,9375.699811935425
91,"Linton Johnson III",Raptors,7186.199805021286
92,"Jason Kapono",Raptors,19508.299621105194
93,"Jamario Moon",Raptors,4683.5
94,"Rasho Nesterovic",Raptors,38445.299496650696
95,"Anthony Parker",Raptors,17739.299710989
100,"Renaldo Balkman",Knicks,4715.400107860565
101,"Wilson Chandler",Knicks,4022.3001050949097
102,"Mardy Collins",Knicks,4263
103,"Jamal Crawford",Knicks,64008.799386024475
104,"Eddy Curry",Knicks,53916.80010509491
105,"Jerome James",Knicks,16675.000207424164
106,"Jared Jeffries",Knicks,17513.100023508072
107,"Fred Jones",Knicks,23571.20040655136
108,"David Lee",Knicks,14966.899941921234
109,"Stephon Marbury",Knicks,132785.19898223877
110,"Randolph Morris",Knicks,2172.099954366684
111,"Zach Randolph",Knicks,62419.600182533264
112,"Quentin Richardson",Knicks,53003.30043697357
113,"Nate Robinson",Knicks,17980.00022125244
114,"Malik Rose",Knicks,40776.89955472946
120,"Louis Amundson",76ers,1644.2999875545502
121,"Calvin Booth",76ers,18264.19997960329
122,"Rodney Carney",76ers,7023.800049781799
123,"Samuel Dalembert",76ers,NULL
124,"Reggie Evans",76ers,15338.100141048431
125,"Willie Green",76ers,25656.30016040802
126,"Herbert Hill",76ers,0
127,"Andre Iguodala",76ers,33463.100127220154
128,"Andre Miller",76ers,73987.70077991486
129,"Kevin Ollie",76ers,19473.50005531311
130,"Shavlik Randolph",76ers,110229
131,"Jason Smith",76ers,2479.5
132,"Louis Williams",76ers,9877.400097489357
133,"Thaddeus Young",76ers,4297.80010509491
150,"Lance Allred",Cavaliers,0
151,"Devin Brown",Cavaliers,22535.90035676956
152,"Daniel Gibson",Cavaliers,8563.69983959198
153,"Zydrunas Ilgauskas",Cavaliers,81214.50033187866
154,"LeBron James",Cavaliers,77563.39956855774
155,"Damon Jones",Cavaliers,36911.19983959198
156,"Dwayne Jones",Cavaliers,1786.399993777275
157,"Aleksandar Pavlovic",Cavaliers,17344.900273799896
158,"Joe Smith",Cavaliers,84726.3995962143
159,"Eric Snow",Cavaliers,47438.20051717758
160,"Wally Szczerbiak",Cavaliers,77801.20119476318
161,"Anderson Varejao",Cavaliers,13012.300008296967
162,"Ben Wallace",Cavaliers,42258.800125837326
163,"Delonte West",Cavaliers,21863.1000995636
181,"Derek Anderson",Bobcats,63968.20000553131
182,"Earl Boykins",Bobcats,47852.90003871918
183,"Matt Carroll",Bobcats,21964.600168704987
184,"Jermareo Davidson",Bobcats,1763.2000262737274
185,"Jared Dudley",Bobcats,3195.8001050949097
186,"Raymond Felton",Bobcats,7769.100210189819
187,"Othella Harrington",Bobcats,44065.50004148483
188,"Ryan Hollins",Bobcats,2659.300029039383
189,"Sean May",Bobcats,11420.199673652649
190,"Nazr Mohammed",Bobcats,30754.499453783035
191,"Adam Morrison",Bobcats,6844.000110626221
192,"Emeka Okafor",Bobcats,31987
193,"Jason Richardson",Bobcats,74907.00088500977
194,"Gerald Wallace",Bobcats,41742.60004425049
201,"Charlie Bell",Bucks,17573.999751091003
202,"Andrew Bouqt",Bucks,20137.59979534149
203,"Dan Gadzuric",Bucks,16869.300008296967
204,"Royal Ivey",Bucks,8839.19989490509
205,"Desmond Mason",Bucks,56361.50016593933
206,"Michael Redd",Bucks,12507.700420379639
207,"Michael Ruffin",Bucks,7731.400000691414
208,"Ramon Sessions",Bucks,4463.100210189819
209,"Bobby Simmons",Bucks,29666.999626636505
210,"Awvee Store",Bucks,3387.20001244545
211,"Charlie Villanueva",Bucks,20453.70000553131
212,"Jake Voskuhl",Bucks,17936.500034570694
213,"Mo Williams",Bucks,34994.300077438354
214,"Yi Jianlian",Bucks,4738.600210189819
220,"Shannon Brown",Bulls,3123.3000013828278
221,"JamesOn Curry",Bulls,NULL
222,"Luol Deng",Bulls,34936.299551963806
223,"Chris Duhon",Bulls,15587.49994468689
224,"Drew Gooden",Bulls,41836.850127220154
225,"Ben Gordon",Bulls,40950.89978981018
226,"Aaron Gray",Bulls,2093.7999737262726
227,"Kirk Hinrich",Bulls,41066.8999004364
228,"Larry Hughes",Bulls,90250.90001106262
229,"Demetris Nichols",Bulls,385.69999343156815
230,"Joakin Noah",Bulls,3636.599947452545
231,"Andres Nocioni",Bulls,27486.19989490509
232,"Thabo Sefolosha",Bulls,5779.69983959198
233,"Cedric Simmons",Bulls,2012.600068449974
234,"Tyrus Thonas",Bulls,6762.799994468689
240,"Ray Allen",Celtics,145730.79935836792
241,"Tony Allen",Celtics,17875.600002765656
242,P.J.Brown,Celtics,73378.70009541512
243,"Sam Cassell",Celtics,131596.20194149017
244,"Glen Davis",Celtics,2369.3001050949097
245,"Kevin Garnett",Celtics,150086.59982299805
246,"Eddie House",Celtics,36676.30021572113
247,"Kendrick Perkins",Celtics,12003.0999751091
248,"Paul Pierce",Celtics,131648.39956855774
249,"Scot Pollard",Celtics,24505.00011062622
250,"James Posey",Celtics,48992.60016870499
251,"Leon Powe",Celtics,6788.899941921234
252,"Gabe Pruitt",Celtics,1157.0999474525452
253,"Rajon Rondo",Celtics,9552.60026550293
254,"Brian Scalabrine",Celtics,13609.700026273727
261,"Mike Bibby",Hawks,93588.79966259003
262,"Josh Childress",Hawks,25409.80032634735
263,"Speedy Claxton",Hawks,30615.30032634735
264,"Al Horford",Hawks,5620.19989490509
265,"Joe Johnson",Hawks,66528.90172576904
266,"Solomon Jones",Hawks,2464.999972343445
267,"Acie Law",Hawks,2314.1998949050903
268,"Zaza Pachulia",Hawks,21897.899540901184
269,"Jeremy Richardson",Hawks,928.0000138282776
270,"Josh Smith",Hawks,30841.500193595886
271,"Salim Stoudamire",Hawks,12951.39967918396
272,"Mario West",Hawks,495.8999868631363
273,"Marvin Williams",Hawks,20436.30032634735
281,"Blake Ahearn",Heat,3801.900052547455
282,"joel Anthony",Heat,2148.900052547455
283,"Marcus Banks",Heat,20778.50005531311
284,"Earl Barron",Heat,5686.900090575218
285,"Mark Blount",Heat,34895.6999502182
286,"Daequan Cook",Heat,4793.69989490509
287,"Ricky Davis",Heat,72824.80016040802
288,"Udonis Haslem",Heat,28498.29988384247
289,"Alexander Johnson",Heat,4866.199950218201
290,"Stephane Lasme",Heat,2865.1998949050903
291,"Shawn Marion",Heat,84545.72944009304
292,"Alonzo Mourning",Heat,130273.80087947845
293,"Chris Quinn",Heat,6214.699950218201
294,"Dwyane Wade",Heat,67807.80107307434
295,"Jason Williams",Heat,65740.10032081604
296,"Dorell Wright",Heat,10764.800077438354
300,"Shareef Abdur-Rahim",Kings,111243.99924635887
301,"Ron Artest",Kings,85567.39868354797
302,"Quincy Douby",Kings,4268.8000774383545
303,"Francisco Garcia",Kings,13232.700157642365
304,"Spencer Hawes",Kings,2369.3001050949097
305,"Anthony Johnson",Kings,35295.89937496185
306,"Kevin Martin",Kings,32407.50102329254
307,"Brad Miller",Kings,66340.40012168884
308,"Mikki More",Kings,25409.800194978714
309,"mike john salmons",Kings,22910
310,"Keny Thomas",Kings,46153.50069487095
311,"Beno Udrih",Kings,16010.899997234344
312,"Shelden Williams",Kings,1653
313,"Lorenzen Wright",Kings,52855.399651527405
314,"Brian Scalabrine",Kings,NULL
320,"Chris Andersen",Hornets,14610.199860334396
321,"Hilton Armstrong",Hornets,3395.8999972343445
322,"Ryan Bowen",Hornets,11733.399990320206
323,"Rasual Butler",Hornets,25415.600279331207
324,"Tyson Chandler",Hornets,31450.5
325,"Melvin Ely",Hornets,18220.70035123825
326,"Mike James",Hornets,39590.799551963806
327,"Jannero Pargo",Hornets,18243.900273799896
328,"Chris Paul",Hornets,30531.199977874756
329,"Morris Peterson",Hornets,52582.7998008728
330,"Peja Stojakovic",Hornets,100963.50044250488
331,"Bonzi Wells",Hornets,63892.79982852936
332,"David West",Hornets,37186.69983959198
333,"Julian Wright",Hornets,2148.900052547455
340,"Rafer ALston",Rockets,44854.300077438354
341,"Shane Battier",Rockets,24649.999446868896
342,"Aaron Brooks",Rockets,2755
343,"Steve Francis",Rockets,87182.70030975342
344,"Mike Harris",Rockets,2038.7000262737274
345,"Chuck Hayes",Rockets,6939.699970960617
346,"Luther Head",Rockets,15413.499778747559
347,"Bobby Jackson",Rockets,63866.700157642365
348,"Carl Landry",Rockets,4463.100210189819
349,"Tracy McGrady",Rockets,137419.39923667908
350,"Dikembre Mutombo",Rockets,86512.8004784584
351,"Steve NOvak",Rockets,3018.900052547455
352,"Luis Scola",Rockets,5675.30010509491
353,"Loren Woods",Rockets,8143.199960589409
354,"Yao Ming",Rockets,67503.29913711548
361,"Brent Barry",Spurs,66743.50085735321
362,"Matt Bonner",Spurs,13850.399997234344
363,"Bruce Bowen",Spurs,39648.79953813553
364,"Tim Duncan",Spurs,135427.09998893738
365,"Michael Finley",Spurs,121721.7007522583
366,"Manu Ginobili",Spurs,49911.89984512329
367,"Robert Horry",Spurs,59084.600058078766
368,"Bobby Jones",Spurs,3874.400052547455
369,"Ian Mahinmi",Spurs,1928.5
370,"Fabricio Oberto",Spurs,6133.500186681747
371,"Tony Parker",Spurs,64040.69959068298
372,"Damon Stoudamire",Spurs,96274.20036506653
373,"Kurt Thomas",Spurs,68048.5003042221
374,"Ime Udoka",Spurs,10770.59985756874
